Date,Bitcoin Popularity,Sentiment Score
2013-01,1,0.027431126
2013-02,1,0.033907619
2013-03,3,0.0302625
2013-04,8,0.016498131
2013-05,3,0.022865888
2013-06,2,0.021373826
2013-07,2,0.042225
2013-08,2,0.04538125
2013-09,2,0.025348447
2013-10,3,0.035027068
2013-11,10,0.002713545
2013-12,12,0.006443556
2014-01,8,0.028162703
2014-02,9,-0.012676271
2014-03,6,0.042154348
2014-04,4,0.023279213
2014-05,3,0.034135567
2014-06,3,0.059342391
2014-07,3,0.025396096
2014-08,3,0.08074
2014-09,3,0.062857396
2014-10,3,0.037157542
2014-11,3,0.031412245
2014-12,3,0.055195939
2015-01,3,0.046007246
2015-02,3,0.042722222
2015-03,3,0.059996571
2015-04,2,0.047258989
2015-05,2,0.055329843
2015-06,2,0.02419233
2015-07,3,0.083033333
2015-08,3,0.03738806
2015-09,2,0.045800641
2015-10,3,0.097308125
2015-11,4,0.050868539
2015-12,3,0.07533125
2016-01,3,0.012322222
2016-02,3,0.045620144
2016-03,3,0.034372159
2016-04,3,0.042317857
2016-05,4,0.043207407
2016-06,5,0.044198013
2016-07,4,0.053005446
2016-08,3,0.051445699
2016-09,3,0.039053378
2016-10,3,0.073473714
2016-11,4,0.046308889
2016-12,5,0.026594118
2017-01,6,0.041077077
2017-02,6,0.037514973
2017-03,7,0.039543318
2017-04,6,0.049580263
2017-05,15,0.054861076
2017-06,15,0.035742727
2017-07,12,-0.0056415
2017-08,20,0.047928099
2017-09,22,0.044052691
2017-10,22,0.053417727
2017-11,45,0.003317112
2017-12,100,-0.004030482
2018-01,56,-0.002466848
2018-02,41,0.037913772
2018-03,23,0.002623647
2018-04,19,-0.016923952
2018-05,15,-0.013720476
2018-06,13,-0.033734375
2018-07,13,0.014478551
2018-08,12,0.047094595
2018-09,12,0.054509836
2018-10,10,0.031247458
2018-11,14,-0.018881065
2018-12,13,0.041660355
2019-01,10,0.027938049
2019-02,10,0.012788945
2019-03,9,-0.038176623
2019-04,12,0.0170133
2019-05,17,0.034625893
2019-06,21,0.003527105
2019-07,19,0.017071
2019-08,15,-0.006658434
2019-09,12,0.007228042
2019-10,12,0.012792571
2019-11,11,0.028068137
2019-12,11,-0.022909697
2020-01,13,0.002153953
2020-02,14,0.02031003
2020-03,19,-0.024899487
2020-04,16,0.011718579
2020-05,20,0.025871622
2020-06,14,0.026939697
2020-07,14,0.012905579
2020-08,16,-0.008022449
2020-09,12,0.026456764
2020-10,14,0.041124885
2020-11,24,0.059050769
2020-12,31,0.054858065
2021-01,64,0.048479032
2021-02,67,0.031622967
2021-03,48,-0.005401093
2021-04,51,-0.018068072
2021-05,61,0.040726019
2021-06,44,0.019448869
2021-07,31,0.045940341
2021-08,32,0.045535758
2021-09,31,0.036980719
2021-10,37,0.05472
2021-11,33,-0.012302857
2021-12,34,0.023708511
2022-01,42,0.020710825
2022-02,36,0.013391444
2022-03,30,0.032513265
2022-04,22,0.021998521
2022-05,36,0.029354505
2022-06,40,0.018326087
2022-07,30,0.078539153
2022-08,22,0.034535185
2022-09,21,0.031281
2022-10,17,0.044439394
2022-11,26,0.008149189
2022-12,18,0.031208134
2023-01,20,0.076108145
2023-02,19,0.002699405
2023-03,22,-0.020249593
2023-04,21,0.010117368
2023-05,18,0.031786017
2023-06,19,0.022857951
2023-07,18,0.042118563
2023-08,18,0.032086522
2023-09,15,0.056661151
2023-10,19,0.048255372
2023-11,21,-0.008532773
2023-12,24,0.042570902
2024-01,29,0.003932026
2024-02,26,-0.020448974
2024-03,41,-0.046189005
2024-04,33,-0.10023319
